assessment_id,scenario,is_synthetic,model_version,questionnaire_version,assessment_date,assessment_scope,asset_population,sampling_approach,evidence_rules,assessment_lead_role,applicability_decision,domain_id,domain_name,control_id,assessment_question,respondent_role,control_owner_role,response_summary,self_reported_score,assessment_status,validated_score,evidence_references,evidence_period,coverage_and_limitations,scoring_rationale,exceptions_or_exclusions,reviewer_role,review_date,gap_and_follow_up,target_score,target_date,roadmap_action_id
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D03,Data Quality,D03-Q03,"Are quality or integration failures detected, routed and escalated within agreed response times?",Data Owner,Data Owner,Failure alerts follow defined routing and escalation procedures with timestamped execution.,,Validated,2,"SYN-EV-D03-Q03: fictional Alert rules, routing procedures, timestamped incidents and escalation records",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D03,Data Quality,D03-Q04,Are data quality issues remediated through a controlled workflow with accountable ownership and required approvals?,Data Owner,Data Owner,Quality remediation has accountable owners approvals and post-fix verification.,,Validated,2,"SYN-EV-D03-Q04: fictional Issue register, root-cause analysis, remediation tickets, approvals and post-fix validation",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D04,Master and Reference Data,D04-Q01,Are critical master and reference data entities identified and assigned accountable ownership?,Data Owner,Data Owner,No critical master or reference entity register or accountable entity ownership is established.,,Validated,0,SYN-EV-D04-Q01: fictional absence finding and owner confirmation,2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional absence finding confirms that no control is established; even level 1 activity is absent.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R02: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R02
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D04,Master and Reference Data,D04-Q02,Are consistent identifiers defined and used to identify master entities across relevant systems?,Data Owner,Data Owner,Identifiers are assigned locally without a consistent cross-system standard.,,Validated,1,"SYN-EV-D04-Q02: fictional Identifier standards, source-to-target mappings, uniqueness checks and exception handling",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R05: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R05
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D04,Master and Reference Data,D04-Q03,"Are authoritative sources approved and used, with controlled exceptions for alternative sources?",Data Owner,Data Owner,Source choices are made informally without a maintained authoritative-source approval process.,,Validated,1,"SYN-EV-D04-Q03: fictional Source register, approval decisions, consumption mappings and exception records",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R05: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R05
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D04,Master and Reference Data,D04-Q04,"Are matching, merging and survivorship rules defined and operated to resolve conflicts when consolidating master records?",Data Owner,Data Owner,Matching merging and survivorship follow documented rules with reviewed exceptions.,,Validated,2,"SYN-EV-D04-Q04: fictional Consolidation rules, match results, merge decisions, conflict reviews and validation records",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D05,Data Security and Access,D05-Q01,Are security controls selected and operated according to data classification and assessed risk?,Security Lead,Security Lead,Classification-based security controls are documented owned and tested within scope.,,Validated,2,"SYN-EV-D05-Q01: fictional Classification-to-control mapping, implementation samples, control tests and approved exceptions",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D05,Data Security and Access,D05-Q02,Is access granted through defined roles and approval criteria rather than unmanaged individual permissions?,Security Lead,Security Lead,Access uses approved roles with recorded requests decisions and exception handling.,,Validated,2,"SYN-EV-D05-Q02: fictional Role and access matrix, access requests, approvals and sampled permission assignments",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D05,Data Security and Access,D05-Q03,Are unclassified assets identified and prevented from being accessed until classification or an approved exception is in place?,Security Lead,Security Lead,Classification gates are monitored across cycles and improvements reduce recurring access exceptions.,,Validated,3,"SYN-EV-D05-Q03: fictional Access-gating rules, classification checks, denied requests and exception approvals",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional records demonstrate sustained level 2 operation measured effectiveness and evaluated improvements across successive cycles; this is the highest model level.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,3,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D05,Data Security and Access,D05-Q04,"Are non-production environments protected from inappropriate exposure of real data through approved masking, anonymization or synthetic-data practices?",Security Lead,Security Lead,Non-production protection is operated and improved using exposure checks across review cycles.,,Validated,3,"SYN-EV-D05-Q04: fictional Non-production data standard, transformation or generation records, validation results and approved exceptions",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional records demonstrate sustained level 2 operation measured effectiveness and evaluated improvements across successive cycles; this is the highest model level.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,3,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D06,Data Lifecycle,D06-Q01,"Are retention periods and disposal triggers defined, approved and applied to the relevant data categories?",Data Custodian,Data Custodian,Retention decisions occur case by case without an approved standardized schedule.,,Validated,1,"SYN-EV-D06-Q01: fictional Retention schedule, owner approvals, configured rules and execution samples",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R03: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R03
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D06,Data Lifecycle,D06-Q02,"Are lifecycle status, retention requirements and responsible roles maintained in asset metadata?",Data Custodian,Data Custodian,Lifecycle metadata is updated manually and inconsistently.,,Validated,1,"SYN-EV-D06-Q02: fictional Lifecycle metadata standard, catalog samples, update history and completeness checks",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R06: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R06
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D06,Data Lifecycle,D06-Q03,"Is disposal coordinated across relevant copies and environments, with retention holds and exceptions accounted for?",Data Custodian,Data Custodian,Disposal occurs through local requests without consistent coordination of copies and holds.,,Validated,1,"SYN-EV-D06-Q03: fictional Copy inventory, disposal workflow, hold checks, execution records and reconciliation results",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R06: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R06
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D06,Data Lifecycle,D06-Q04,"Does data disposal produce sufficient traceable evidence to verify authorization, execution and outcome?",Data Custodian,Data Custodian,Disposal records exist but authorization execution and outcome are not consistently linked.,,Validated,1,"SYN-EV-D06-Q04: fictional Approval references, execution logs, completion checks and failure-resolution records",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional execution samples show activity but inconsistent standardization and ownership prevent level 2.,No scope exclusions; control gaps described in response summary,Assessment Reviewer,2026-09-01,Planned R06: establish level 2 capability; see improvement-roadmap.md acceptance criteria,2,,R06
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D07,Data Collection and Sharing,D07-Q01,"Are the purpose, necessity and accountable owner established before data is collected?",Data Owner,Data Owner,Collection purpose necessity and ownership are established through a documented approval workflow.,,Validated,2,"SYN-EV-D07-Q01: fictional Purpose register, collection approvals, necessity assessments and owner records",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D07,Data Collection and Sharing,D07-Q02,Is the required authorization or legal-basis review recorded and maintained for collection and use where applicable?,Data Owner,Data Owner,Applicable authorization reviews are recorded and maintained through an owned procedure.,,Validated,2,"SYN-EV-D07-Q02: fictional Review workflow, approved records, change reviews and recorded conditions of use",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D07,Data Collection and Sharing,D07-Q03,Is external sharing authorized and protected through appropriate transfer controls and traceability?,Data Owner,Data Owner,External sharing follows approved transfer controls and traceable decisions.,,Validated,2,"SYN-EV-D07-Q03: fictional Sharing approvals, recipient requirements, transfer-control configuration and transfer logs",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional approved procedures ownership execution and exception records support level 2; evaluated improvements across successive cycles are not demonstrated.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,2,,R09
SYN-MAT-BASE-001,Synthetic worked baseline - scoring methodology section 7,true,1.0,1.0,2026-09-01,Fictional Portfolio Unit A; operational governance across eight domains; not a real organization,20 fictional critical assets across four fictional systems; criticality defined by business impact,Simulated full review of 20 assets and scoped process records; no real evidence inspected,Fictional current standards and execution records for the stated period; labels are not file links,Assessment Lead,All 32 controls applicable; no scope exclusions,D07,Data Collection and Sharing,D07-Q04,"Are withdrawal requests assessed and acted upon through a documented workflow that considers affected copies, applicable obligations and approved exceptions?",Data Owner,Data Owner,Withdrawal handling is measured across cycles and improvements are verified while obligations and exceptions are considered.,,Validated,3,"SYN-EV-D07-Q04: fictional Request records, impact assessments, decisions, action logs and completion verification",2026-06-01 to 2026-08-31,Synthetic scenario assumption covering the defined population; Validated represents a simulated review only,Fictional records demonstrate sustained level 2 operation measured effectiveness and evaluated improvements across successive cycles; this is the highest model level.,No scope exclusions; operating exceptions tracked in fictional records,Assessment Reviewer,2026-09-01,Recurring R09: sustain current capability and review exceptions,3,,R09
