WorkItemId,Title,WorkItemType,State,NormalizedStatus,Workstream,IterationPath,AssignedTo,Phase,CreatedDate,ActivatedDate,ChangedDate,ClosedDate,DueDate,Priority,StoryPoints,ParentWorkItemId,IsBlocked,Tags
1103,Validate source-to-report lineage 04,Enabler,New,New,Access and Privacy,Portfolio\Access and Privacy,Data Steward B,Phase 1,2025-01-23,,2025-01-24,,2025-03-05,4,13,1013,false,access;privacy
1104,Document critical data elements 05,Task,In Validation,In Validation,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Data Architect,Phase 2,2025-01-26,2025-01-29,2025-02-13,,2025-03-15,1,1,1014,false,master-data;lifecycle
1105,Review data quality scorecard 06,Bug,Active,Active,Governance Foundation,Portfolio\Governance Foundation,Platform Engineer,Phase 3,2025-01-29,2025-02-02,2025-02-08,,2025-02-18,2,,1010,false,governance;operating-model
1106,Automate issue remediation workflow 07,User Story,On Hold,On Hold,Metadata and Lineage,Portfolio\Metadata and Lineage,Privacy Specialist,Phase 1,2025-02-01,2025-02-03,2025-02-09,,2025-02-28,3,8,1011,true,metadata;lineage;blocked
1107,Monitor access request process 08,Task,Closed,Closed,Data Quality,Portfolio\Data Quality,Governance Analyst A,Phase 2,2025-02-04,2025-02-07,2025-02-21,2025-02-21,2025-03-10,4,1,1012,false,data-quality;monitoring
1108,Define role and permission matrix 09,User Story,Active,Active,Access and Privacy,Portfolio\Access and Privacy,Governance Analyst B,Phase 3,2025-02-07,2025-02-11,2025-02-20,,2025-03-20,1,3,1013,false,access;privacy
1109,Design privacy assessment flow 10,Enabler,New,New,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Data Steward A,Phase 1,2025-02-10,,2025-02-11,,2025-03-30,2,5,1014,false,master-data;lifecycle
1110,Implement master data identifiers 11,Task,Closed,Closed,Governance Foundation,Portfolio\Governance Foundation,Data Steward B,Phase 2,2025-02-13,2025-02-16,2025-03-05,2025-03-05,2025-03-05,3,1,1010,false,governance;operating-model
1111,Validate retention and disposal rules 12,Bug,Closed,Closed,Metadata and Lineage,Portfolio\Metadata and Lineage,Data Architect,Phase 3,2025-02-16,2025-02-20,2025-03-09,2025-03-09,2025-03-15,4,,1011,false,metadata;lineage
1112,Document catalog onboarding checklist 13,User Story,Active,Active,Data Quality,Portfolio\Data Quality,Platform Engineer,Phase 1,2025-02-19,2025-02-21,2025-03-08,,2025-03-25,1,3,1012,false,data-quality;monitoring
1113,Review ownership review process 14,Task,New,New,Access and Privacy,Portfolio\Access and Privacy,Privacy Specialist,Phase 2,2025-02-22,,2025-02-23,,2025-04-04,2,1,1013,false,access;privacy
1114,Automate governance KPI definitions 15,User Story,In Validation,In Validation,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Governance Analyst A,Phase 3,2025-02-25,2025-03-01,2025-03-13,,2025-04-14,3,8,1014,false,master-data;lifecycle
1115,Monitor governance operating model 16,Enabler,Active,Active,Governance Foundation,Portfolio\Governance Foundation,Governance Analyst B,Phase 1,2025-02-28,2025-03-02,2025-03-20,,2025-03-20,4,13,1010,false,governance;operating-model
1116,Define business glossary workflow 17,Task,On Hold,On Hold,Metadata and Lineage,Portfolio\Metadata and Lineage,Data Steward A,Phase 2,2025-03-03,2025-03-06,2025-03-11,,2025-03-30,1,1,1011,true,metadata;lineage;blocked
1117,Design metadata quality rules 18,Bug,Closed,Closed,Data Quality,Portfolio\Data Quality,Data Steward B,Phase 3,2025-03-06,2025-03-10,2025-03-19,2025-03-19,2025-04-09,2,,1012,false,data-quality;monitoring
1118,Implement source-to-report lineage 19,User Story,Active,Active,Access and Privacy,Portfolio\Access and Privacy,Data Architect,Phase 1,2025-03-09,2025-03-11,2025-03-14,,2025-04-19,3,8,1013,false,access;privacy
1119,Validate critical data elements 20,Task,New,New,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Platform Engineer,Phase 2,2025-03-12,,2025-03-13,,2025-04-29,4,1,1014,false,master-data;lifecycle
1120,Document data quality scorecard 21,User Story,Closed,Closed,Governance Foundation,Portfolio\Governance Foundation,Privacy Specialist,Phase 3,2025-03-15,2025-03-19,2025-03-31,2025-03-31,2025-04-04,1,3,1010,false,governance;operating-model
1121,Review issue remediation workflow 22,Enabler,Closed,Closed,Metadata and Lineage,Portfolio\Metadata and Lineage,Governance Analyst A,Phase 1,2025-03-18,2025-03-20,2025-04-04,2025-04-04,2025-04-14,2,5,1011,false,metadata;lineage
1122,Automate access request process 23,Task,Active,Active,Data Quality,Portfolio\Data Quality,Governance Analyst B,Phase 2,2025-03-21,2025-03-24,2025-03-30,,2025-04-24,3,1,1012,false,data-quality;monitoring
1123,Monitor role and permission matrix 24,Bug,New,New,Access and Privacy,Portfolio\Access and Privacy,Data Steward A,Phase 3,2025-03-24,,2025-03-25,,2025-05-04,4,,1013,false,access;privacy
1124,Define privacy assessment flow 25,User Story,In Validation,In Validation,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Data Steward B,Phase 1,2025-03-27,2025-03-29,2025-04-10,,2025-05-14,1,3,1014,false,master-data;lifecycle
1125,Design master data identifiers 26,Task,Active,Active,Governance Foundation,Portfolio\Governance Foundation,Data Architect,Phase 2,2025-03-30,2025-04-02,2025-04-11,,2025-04-19,2,1,1010,false,governance;operating-model
1126,Implement retention and disposal rules 27,User Story,On Hold,On Hold,Metadata and Lineage,Portfolio\Metadata and Lineage,Platform Engineer,Phase 3,2025-04-02,2025-04-06,2025-04-10,,2025-04-29,3,8,1011,true,metadata;lineage;blocked
1127,Validate catalog onboarding checklist 28,Enabler,Closed,Closed,Data Quality,Portfolio\Data Quality,Privacy Specialist,Phase 1,2025-04-05,2025-04-07,2025-04-28,2025-04-28,2025-05-09,4,13,1012,false,data-quality;monitoring
1128,Document ownership review process 29,Task,Active,Active,Access and Privacy,Portfolio\Access and Privacy,Governance Analyst A,Phase 2,2025-04-08,2025-04-11,2025-04-23,,2025-05-19,1,1,1013,false,access;privacy
1129,Review governance KPI definitions 30,Bug,New,New,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Governance Analyst B,Phase 3,2025-04-11,,2025-04-12,,2025-05-29,2,,1014,false,master-data;lifecycle
1130,Automate governance operating model 31,User Story,Closed,Closed,Governance Foundation,Portfolio\Governance Foundation,Data Steward A,Phase 1,2025-04-14,2025-04-16,2025-04-26,2025-04-26,2025-05-04,3,8,1010,false,governance;operating-model
1131,Monitor business glossary workflow 32,Task,Closed,Closed,Metadata and Lineage,Portfolio\Metadata and Lineage,Data Steward B,Phase 2,2025-04-17,2025-04-20,2025-04-30,2025-04-30,2025-05-14,4,1,1011,false,metadata;lineage
1132,Define metadata quality rules 33,User Story,Active,Active,Data Quality,Portfolio\Data Quality,Data Architect,Phase 3,2025-04-20,2025-04-24,2025-05-09,,2025-05-24,1,3,1012,false,data-quality;monitoring
1133,Design source-to-report lineage 34,Enabler,New,New,Access and Privacy,Portfolio\Access and Privacy,Platform Engineer,Phase 1,2025-04-23,,2025-04-24,,2025-06-03,2,5,1013,false,access;privacy
1134,Implement critical data elements 35,Task,In Validation,In Validation,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Privacy Specialist,Phase 2,2025-04-26,2025-04-29,2025-05-14,,2025-06-13,3,1,1014,false,master-data;lifecycle
1135,Validate data quality scorecard 36,Bug,Active,Active,Governance Foundation,Portfolio\Governance Foundation,Governance Analyst A,Phase 3,2025-04-29,2025-05-03,2025-05-21,,2025-05-19,4,,1010,false,governance;operating-model
1136,Document issue remediation workflow 37,User Story,On Hold,On Hold,Metadata and Lineage,Portfolio\Metadata and Lineage,Governance Analyst B,Phase 1,2025-05-02,2025-05-04,2025-05-10,,2025-05-29,1,3,1011,true,metadata;lineage;blocked
1137,Review access request process 38,Task,Closed,Closed,Data Quality,Portfolio\Data Quality,Data Steward A,Phase 2,2025-05-05,2025-05-08,2025-05-24,2025-05-24,2025-06-08,2,1,1012,false,data-quality;monitoring
1138,Automate role and permission matrix 39,User Story,Active,Active,Access and Privacy,Portfolio\Access and Privacy,Data Steward B,Phase 3,2025-05-08,2025-05-12,2025-05-15,,2025-06-18,3,8,1013,false,access;privacy
1139,Monitor privacy assessment flow 40,Enabler,New,New,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Data Architect,Phase 1,2025-05-11,,2025-05-12,,2025-06-28,4,13,1014,false,master-data;lifecycle
1140,Define master data identifiers 41,Task,Closed,Closed,Governance Foundation,Portfolio\Governance Foundation,Platform Engineer,Phase 2,2025-05-14,2025-05-17,2025-06-05,2025-06-05,2025-06-03,1,1,1010,false,governance;operating-model
1141,Design retention and disposal rules 42,Bug,Closed,Closed,Metadata and Lineage,Portfolio\Metadata and Lineage,Privacy Specialist,Phase 3,2025-05-17,2025-05-21,2025-06-09,2025-06-09,2025-06-13,2,,1011,false,metadata;lineage
1142,Implement catalog onboarding checklist 43,User Story,Active,Active,Data Quality,Portfolio\Data Quality,Governance Analyst A,Phase 1,2025-05-20,2025-05-22,2025-05-31,,2025-06-23,3,8,1012,false,data-quality;monitoring
1143,Validate ownership review process 44,Task,New,New,Access and Privacy,Portfolio\Access and Privacy,Governance Analyst B,Phase 2,2025-05-23,,2025-05-24,,2025-07-03,4,1,1013,false,access;privacy
1144,Document governance KPI definitions 45,User Story,In Validation,In Validation,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Data Steward A,Phase 3,2025-05-26,2025-05-30,2025-06-11,,2025-07-13,1,3,1014,false,master-data;lifecycle
1145,Review governance operating model 46,Enabler,Active,Active,Governance Foundation,Portfolio\Governance Foundation,Data Steward B,Phase 1,2025-05-29,2025-05-31,2025-06-12,,2025-06-18,2,5,1010,false,governance;operating-model
1146,Automate business glossary workflow 47,Task,On Hold,On Hold,Metadata and Lineage,Portfolio\Metadata and Lineage,Data Architect,Phase 2,2025-06-01,2025-06-04,2025-06-09,,2025-06-28,3,1,1011,true,metadata;lineage;blocked
1147,Monitor metadata quality rules 48,Bug,Closed,Closed,Data Quality,Portfolio\Data Quality,Platform Engineer,Phase 3,2025-06-04,2025-06-08,2025-06-19,2025-06-19,2025-07-08,4,,1012,false,data-quality;monitoring
1148,Define source-to-report lineage 49,User Story,Active,Active,Access and Privacy,Portfolio\Access and Privacy,Privacy Specialist,Phase 1,2025-06-07,2025-06-09,2025-06-24,,2025-07-18,1,3,1013,false,access;privacy
1149,Design critical data elements 50,Task,New,New,Master Data and Lifecycle,Portfolio\Master Data and Lifecycle,Governance Analyst A,Phase 2,2025-06-10,,2025-06-11,,2025-07-28,2,1,1014,false,master-data;lifecycle
1150,Implement data quality scorecard 51,User Story,Closed,Closed,Governance Foundation,Portfolio\Governance Foundation,Governance Analyst B,Phase 3,2025-06-13,2025-06-17,2025-07-01,2025-07-01,2025-07-03,3,8,1010,false,governance;operating-model
1151,Validate issue remediation workflow 52,Enabler,Closed,Closed,Metadata and Lineage,Portfolio\Metadata and Lineage,Data Steward A,Phase 1,2025-06-16,2025-06-18,2025-07-05,2025-07-05,2025-07-13,4,13,1011,false,metadata;lineage
1152,Document access request process 53,Task,Active,Active,Data Quality,Portfolio\Data Quality,Data Steward B,Phase 2,2025-06-19,2025-06-22,2025-07-10,,2025-07-23,1,1,1012,true,data-quality;monitoring;blocked
